+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Mon Mar 20 14:17:43 2017

Trigger time : 51612560

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;51612560;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205300;0.00;6082885;0.00;
;51612561;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;-1.00;6082885;0.00;
;51612562;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612563;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612564;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612565;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612566;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612567;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612568;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612569;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612570;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205298;-1.00;6082885;0.00;
;51612571;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;1.00;6082885;0.00;
;51612572;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612573;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;0.00;6082885;0.00;
;51612574;1;;994;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205298;-1.00;6082885;0.00;
;51612575;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205297;-1.00;6082885;0.00;
;51612576;1;;993;;995;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205297;0.00;6082885;0.00;
;51612577;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205298;1.00;6082885;0.00;
;51612578;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205298;0.00;6082885;0.00;
;51612579;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205299;1.00;6082885;0.00;
;51612580;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205298;-1.00;6082885;0.00;
;51612581;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205298;0.00;6082885;0.00;
;51612582;1;;993;;996;;21;-1194935133;5169999;0.00;5170000;0.00;-3;5205297;-1.00;6082885;0.00;
;51612583;1;;993;;996;;21;-1194935133;5169998;-1.00;5170000;0.00;-3;5205298;1.00;6082885;0.00;
;51612584;1;;993;;996;;21;-1194935133;5169998;0.00;5170000;0.00;-3;5205298;0.00;6082885;0.00;
;51612585;1;;993;;996;;21;-1194935133;5169998;0.00;5170000;0.00;-3;5205298;0.00;6082885;0.00;
;51612586;1;;993;;996;;21;-1194935133;5169997;-1.00;5170000;0.00;-3;5205298;0.00;6082885;0.00;
;51612587;1;;993;;996;;21;-1194935133;5169997;0.00;5170000;0.00;-3;5205296;-2.00;6082885;0.00;
;51612588;1;;993;;996;;21;-1194935133;5169996;-1.00;5170000;0.00;-3;5205295;-1.00;6082885;0.00;
;51612589;1;;993;;996;;21;-1194935133;5169996;0.00;5170000;0.00;-3;5205293;-2.00;6082885;0.00;
;51612590;1;;993;;996;;21;-1194935133;5169995;-1.00;5170000;0.00;-3;5205293;0.00;6082885;0.00;
;51612591;1;;993;;996;;21;-1194935133;5169994;-1.00;5170000;0.00;-3;5205294;1.00;6082885;0.00;
;51612592;1;;993;;996;;21;-1194935133;5169993;-1.00;5170000;0.00;-3;5205294;0.00;6082885;0.00;
;51612593;1;;993;;996;;21;-1194935133;5169991;-2.00;5170000;0.00;-3;5205293;-1.00;6082885;0.00;
;51612594;1;;994;;995;;21;-1194935133;5169990;-1.00;5170000;0.00;-3;5205292;-1.00;6082885;0.00;
;51612595;1;;993;;995;;21;-1194935133;5169988;-2.00;5170000;0.00;-3;5205294;2.00;6082885;0.00;
;51612596;1;;993;;996;;21;-1194935133;5169986;-2.00;5170000;0.00;-3;5205293;-1.00;6082885;0.00;
;51612597;1;;993;;995;;21;-1194935133;5169984;-2.00;5170000;0.00;-3;5205290;-3.00;6082885;0.00;
;51612598;1;;993;;996;;21;-1194935133;5169981;-3.00;5170000;0.00;-3;5205288;-2.00;6082885;0.00;
;51612599;1;;993;;995;;21;-1194935133;5169978;-3.00;5170000;0.00;-3;5205286;-2.00;6082885;0.00;
;51612600;1;;993;;995;;21;-1194935133;5169975;-3.00;5170000;0.00;-3;5205284;-2.00;6082885;0.00;
;51612601;1;;993;;996;;21;-1194935133;5169971;-4.00;5170000;0.00;-3;5205283;-1.00;6082885;0.00;
;51612602;1;;993;;995;;21;-1194935133;5169967;-4.00;5170000;0.00;-3;5205282;-1.00;6082885;0.00;
;51612603;1;;993;;996;;21;-1194935133;5169963;-4.00;5170000;0.00;-3;5205278;-4.00;6082885;0.00;
;51612604;1;;993;;996;;21;-1194935133;5169957;-6.00;5170000;0.00;-3;5205273;-5.00;6082885;0.00;
;51612605;1;;993;;996;;21;-1194935133;5169952;-5.00;5170000;0.00;-3;5205269;-4.00;6082885;0.00;
;51612606;1;;993;;996;;21;-1194935133;5169945;-7.00;5170000;0.00;-3;5205264;-5.00;6082885;0.00;
;51612607;1;;993;;996;;21;-1194935133;5169938;-7.00;5170000;0.00;-3;5205259;-5.00;6082885;0.00;
;51612608;1;;993;;996;;21;-1194935133;5169930;-8.00;5170000;0.00;-3;5205254;-5.00;6082885;0.00;
;51612609;1;;993;;996;;21;-1194935133;5169922;-8.00;5169600;-400.00;-3;5205248;-6.00;6082883;-2.00;
