+-----------------------------------------------------------------------+;;;;;;;;;;;;;;;;;;
| TRACE AXES      type machine: ROBOMAC          no: 513583             |;;;;;;;;;;;;;;;;;;
+-----------------------------------------------------------------------+;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Mon Mar 20 14:19:03 2017;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
Trigger time : 51695177;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;
;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0
T;51695177;1;;994;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;0.00;6088235;0.00
;51695178;1;;994;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;0.00;6088235;0.00
;51695179;1;;994;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;0.00;6088235;0.00
;51695180;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206455;1.00;6088235;0.00
;51695181;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206455;0.00;6088235;0.00
;51695182;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;-1.00;6088235;0.00
;51695183;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;0.00;6088235;0.00
;51695184;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;0.00;6088235;0.00
;51695185;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206455;1.00;6088235;0.00
;51695186;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206455;0.00;6088235;0.00
;51695187;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206454;-1.00;6088235;0.00
;51695188;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206453;-1.00;6088235;0.00
;51695189;1;;992;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206452;-1.00;6088235;0.00
;51695190;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206451;-1.00;6088235;0.00
;51695191;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206451;0.00;6088235;0.00
;51695192;1;;994;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206452;1.00;6088235;0.00
;51695193;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206453;1.00;6088235;0.00
;51695194;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206453;0.00;6088235;0.00
;51695195;1;;994;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206453;0.00;6088235;0.00
;51695196;1;;993;;996;;21;-1196005133;5169999;0.00;5170000;0.00;-2;5206452;-1.00;6088235;0.00
;51695197;1;;993;;996;;21;-1196005133;5169998;-1.00;5170000;0.00;-2;5206451;-1.00;6088235;0.00
;51695198;1;;993;;996;;21;-1196005133;5169998;0.00;5170000;0.00;-2;5206451;0.00;6088235;0.00
;51695199;1;;993;;996;;21;-1196005133;5169997;-1.00;5170000;0.00;-2;5206452;1.00;6088235;0.00
;51695200;1;;993;;996;;21;-1196005133;5169997;0.00;5170000;0.00;-2;5206453;1.00;6088235;0.00
;51695201;1;;993;;996;;21;-1196005133;5169996;-1.00;5170000;0.00;-2;5206453;0.00;6088235;0.00
;51695202;1;;993;;996;;21;-1196005133;5169995;-1.00;5170000;0.00;-2;5206452;-1.00;6088235;0.00
;51695203;1;;993;;996;;21;-1196005133;5169994;-1.00;5170000;0.00;-2;5206451;-1.00;6088235;0.00
;51695204;1;;993;;996;;21;-1196005133;5169993;-1.00;5170000;0.00;-2;5206450;-1.00;6088235;0.00
;51695205;1;;994;;996;;21;-1196005133;5169992;-1.00;5170000;0.00;-2;5206451;1.00;6088235;0.00
;51695206;1;;993;;996;;21;-1196005133;5169990;-2.00;5170000;0.00;-2;5206451;0.00;6088235;0.00
;51695207;1;;994;;996;;21;-1196005133;5169988;-2.00;5170000;0.00;-2;5206450;-1.00;6088235;0.00
