+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Wed Mar 22 17:56:15 2017

Trigger time : 64775275

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;64775275;1;;994;;990;;21;-433689076;5005199;0.00;5005200;0.00;-1;5064073;0.00;2216061;0.00;
;64775276;1;;995;;990;;21;-433689076;5005195;-4.00;5005200;0.00;-1;5064073;0.00;2216061;0.00;
;64775277;1;;995;;990;;21;-433689076;5005183;-12.00;5005200;0.00;-1;5064072;-1.00;2216061;0.00;
;64775278;1;;996;;990;;21;-433689076;5005162;-21.00;5005200;0.00;-1;5064073;1.00;2216061;0.00;
;64775279;1;;996;;990;;21;-433689076;5005126;-36.00;5005200;0.00;-1;5064074;1.00;2216061;0.00;
;64775280;1;;996;;991;;21;-433689076;5005074;-52.00;5005200;0.00;-1;5064071;-3.00;2216061;0.00;
;64775281;1;;992;;991;;21;-433689076;5005002;-72.00;5005200;0.00;-2;5064062;-9.00;2216061;0.00;
;64775282;1;;992;;991;;21;-433689076;5004907;-95.00;5005200;0.00;-3;5064041;-21.00;2216061;0.00;
;64775283;1;;992;;991;;21;-433689076;5004786;-121.00;5005200;0.00;-3;5064004;-37.00;2216061;0.00;
;64775284;1;;992;;996;;21;-433689076;5004638;-148.00;5005000;-200.00;-4;5063946;-58.00;2216060;-1.00;
;64775285;1;;992;;995;;21;-433689076;5004459;-179.00;5005000;0.00;-5;5063862;-84.00;2216060;0.00;
;64775286;1;;992;;995;;21;-433689076;5004248;-211.00;5005000;0.00;-5;5063750;-112.00;2216060;0.00;
;64775287;1;;992;;991;;21;-433689076;5004001;-247.00;5004800;-200.00;-6;5063606;-144.00;2216059;-1.00;
;64775288;1;;992;;991;;21;-433689076;5003717;-284.00;5004600;-200.00;-5;5063432;-174.00;2216058;-1.00;
;64775289;1;;992;;991;;21;-433689076;5003393;-324.00;5004600;0.00;-6;5063230;-202.00;2216058;0.00;
;64775290;1;;996;;990;;21;-433689076;5003029;-364.00;5004200;-400.00;-7;5062985;-245.00;2216056;-2.00;
