+-----------------------------------------------------------------------+
| TRACE AXES      type machine: ROBOMAC          no: 513583             |
+-----------------------------------------------------------------------+

Mon Mar 20 14:14:33 2017

Trigger time : 51426601

;Time;interpol;;Eana14;;Eana15;;mode 0;m_pos 0;des_pos 0;des_speed 0;x1r 0;r_speed 0;couple 0;pos_mot 0;mot_speed 0;pos_ext 0;ext_speed 0;
T;51426601;1;;992;;989;;21;-1192895133;5069999;0.00;5070000;0.00;-3;5101790;0.00;6072185;0.00;
;51426602;1;;991;;988;;21;-1192895133;5069995;-4.00;5070000;0.00;-3;5101790;0.00;6072185;0.00;
;51426603;1;;990;;989;;21;-1192895133;5069983;-12.00;5070000;0.00;-3;5101791;1.00;6072185;0.00;
;51426604;1;;990;;990;;21;-1192895133;5069962;-21.00;5070000;0.00;-3;5101791;0.00;6072185;0.00;
;51426605;1;;991;;990;;21;-1192895133;5069926;-36.00;5070000;0.00;-3;5101789;-2.00;6072185;0.00;
;51426606;1;;991;;990;;21;-1192895133;5069874;-52.00;5070000;0.00;-3;5101786;-3.00;6072185;0.00;
;51426607;1;;992;;992;;21;-1192895133;5069802;-72.00;5070000;0.00;-4;5101776;-10.00;6072185;0.00;
;51426608;1;;992;;992;;21;-1192895133;5069707;-95.00;5070000;0.00;-4;5101755;-21.00;6072185;0.00;
;51426609;1;;992;;992;;21;-1192895133;5069586;-121.00;5070000;0.00;-5;5101718;-37.00;6072185;0.00;
;51426610;1;;993;;992;;21;-1192895133;5069438;-148.00;5069600;-400.00;-6;5101660;-58.00;6072183;-2.00;
;51426611;1;;993;;989;;21;-1192895133;5069259;-179.00;5069600;0.00;-6;5101577;-83.00;6072183;0.00;
;51426612;1;;993;;989;;21;-1192895133;5069048;-211.00;5069600;0.00;-7;5101466;-111.00;6072183;0.00;
;51426613;1;;993;;993;;21;-1192895133;5068801;-247.00;5069400;-200.00;-8;5101322;-144.00;6072182;-1.00;
;51426614;1;;991;;993;;21;-1192895133;5068517;-284.00;5069200;-200.00;-6;5101155;-167.00;6072181;-1.00;
;51426615;1;;990;;990;;21;-1192895133;5068193;-324.00;5069000;-200.00;-7;5100973;-182.00;6072180;-1.00;
;51426616;1;;993;;989;;21;-1192895133;5067829;-364.00;5068800;-200.00;-9;5100749;-224.00;6072179;-1.00;
;51426617;1;;993;;989;;21;-1192895133;5067422;-407.00;5068600;-200.00;-9;5100474;-275.00;6072178;-1.00;
;51426618;1;;993;;989;;21;-1192895133;5066970;-452.00;5068400;-200.00;-9;5100154;-320.00;6072177;-1.00;
;51426619;1;;992;;992;;21;-1192895133;5066472;-498.00;5068000;-400.00;-9;5099793;-361.00;6072175;-2.00;
;51426620;1;;993;;992;;21;-1192895133;5065927;-545.00;5067600;-400.00;-10;5099389;-404.00;6072173;-2.00;
;51426621;1;;994;;993;;21;-1192895133;5065334;-593.00;5067200;-400.00;-10;5098936;-453.00;6072171;-2.00;
;51426622;1;;994;;992;;21;-1192895133;5064691;-643.00;5066600;-600.00;-11;5098426;-510.00;6072168;-3.00;
;51426623;1;;994;;992;;21;-1192895133;5063997;-694.00;5066000;-600.00;-10;5097858;-568.00;6072165;-3.00;
;51426624;1;;995;;992;;21;-1192895133;5063252;-745.00;5065400;-600.00;-10;5097242;-616.00;6072162;-3.00;
;51426625;1;;994;;992;;21;-1192895133;5062454;-798.00;5064800;-600.00;-10;5096577;-665.00;6072159;-3.00;
;51426626;1;;994;;989;;21;-1192895133;5061604;-850.00;5064200;-600.00;-10;5095867;-710.00;6072156;-3.00;
